AVL,RB,B ONE,B FIVE,B TEN
6201,30,73,57,55
6208,28,83,57,54
5947,26,77,54,56
5881,27,86,51,55
6511,29,71,56,52
6026,28,70,50,50
5989,28,89,57,55
6031,26,70,61,61
5990,26,68,59,57
5955,31,92,54,54
6372,24,68,60,51
6299,30,73,59,52
6079,29,79,56,52
6055,28,84,55,56
6291,30,88,61,55
6094,28,77,58,55
6277,28,72,59,52
6396,28,82,59,58
6213,28,85,58,56
6069,28,71,57,60
6211,33,71,57,53
6142,24,76,58,52
6291,31,80,56,52
6058,29,76,57,55
6230,27,71,55,59
6068,23,87,60,55
6088,27,75,57,56
6277,28,70,59,59
6274,28,78,65,59
6463,25,70,56,57
6547,27,78,55,54
6210,29,76,54,57
6649,29,92,57,60
6343,26,69,56,55
6192,30,80,54,52
6032,27,75,53,58
6308,27,84,54,55
6113,30,74,53,51
6663,28,76,55,53
6349,29,79,52,52
6260,28,83,57,59
6294,28,77,63,58
6002,30,75,58,58
6695,30,80,53,56
6278,26,78,55,58
6509,27,80,54,53
6642,31,82,58,61
5915,29,80,53,50
6370,30,85,60,57
6373,29,79,55,53
6509,29,74,55,54
6468,31,78,59,54
6715,27,76,58,58
6434,29,78,63,58
6672,29,70,57,56
6484,26,75,60,55
6569,24,73,58,52
6443,27,76,53,58
6490,27,87,58,60
6169,30,91,55,61
6554,27,75,55,53
6510,27,78,59,60
6609,29,74,63,52
6324,28,69,50,50
6478,27,74,57,63
6758,28,78,55,60
6384,27,80,54,57
6187,29,73,60,56
6488,28,74,57,64
6522,31,79,58,51
6670,29,72,53,56
6752,29,71,57,62
6173,26,86,58,51
6852,27,71,58,54
6610,30,75,59,53
6286,30,84,56,58
6294,27,72,56,50
6655,27,79,54,60
6386,29,73,50,56
6543,27,75,57,54
6676,29,88,56,54
6662,27,75,55,53
6481,27,84,53,57
6912,27,80,53,54
6475,29,78,56,56
6624,25,78,59,52
6771,28,87,52,54
6657,29,72,53,48
6594,30,80,54,60
6941,27,70,62,64
6755,28,78,57,67
6301,27,73,58,52
6632,29,90,54,51
6817,28,79,54,52
6767,28,83,58,60
6654,26,71,55,58
6495,28,70,59,58
6938,28,88,54,53
